size,deadline,id,crucial,category
1,100.0,64_0,0,bus
1,100.0,64_1,0,bus
2,100.0,128_0,0,bicycle
2,100.0,128_1,0,truck
1,100.0,64_2,0,car
3,100.0,256_0,0,bus
3,100.0,256_1,0,bus
2,100.0,128_2,0,bicycle
2,100.0,128_3,0,bus
3,100.0,256_2,0,car
1,100.0,64_3,0,bicycle
2,100.0,128_4,1,person
3,100.0,256_3,1,bus
4,100.0,512_0,0,bicycle
1,100.0,64_4,0,person
4,100.0,512_1,1,person
2,100.0,128_5,0,bicycle
2,100.0,128_6,0,truck
3,100.0,256_4,0,bicycle
1,100.0,64_5,0,bus
1,100.0,64_6,0,car
1,100.0,64_7,0,car
3,100.0,256_5,0,person
1,100.0,64_8,0,bus
4,100.0,512_2,0,person
4,100.0,512_3,0,person
3,100.0,256_6,0,bicycle
3,100.0,256_7,0,truck
1,100.0,64_9,0,bus
3,100.0,256_8,0,truck
1,100.0,64_10,0,person
4,100.0,512_4,0,person
1,100.0,64_11,0,truck
4,100.0,512_5,0,car
2,100.0,128_7,0,bus
2,100.0,128_8,1,truck
3,100.0,256_9,1,person
3,100.0,256_10,0,truck
4,100.0,512_6,0,car
2,100.0,128_9,0,bus
